Sensor resistance (ohms) | -0.5 (0) (V) | Output (0) (V) | 0.5 (1) (V) | Output (1) (V)
261 | -0.5 | 2.61 | 0.5 | -2.61
262 | -0.5 | 2.62 | 0.5 | -2.62
263 | -0.5 | 2.63 | 0.5 | -2.63
264 | -0.5 | 2.64 | 0.5 | -2.64
265 | -0.5 | 2.65 | 0.5 | -2.65
266 | -0.5 | 2.66 | 0.5 | -2.66
267 | -0.5 | 2.67 | 0.5 | -2.67
268 | -0.5 | 2.68 | 0.5 | -2.68
269 | -0.5 | 2.69 | 0.5 | -2.69
270 | -0.5 | 2.70 | 0.5 | -2.70
